#{"t_start": 1602658283.3454275, "env_id": "Ant-v2"}
r,l,t
-318.186682,1000,2.500562
-32.589232,66,2.554253
-334.667345,1000,3.384188
-40.391922,73,3.442824
-137.779184,218,3.617674
-63.095129,92,3.691982
-8.272449,40,3.724644
-359.641913,1000,4.548606
-33.458627,76,4.610031
1.427384,132,4.714626
-13.461624,39,4.746453
-12.623516,45,4.78277
-66.027259,189,4.935237
0.952798,31,4.960737
-17.489475,41,5.047749
-24.641136,26,5.071048
12.905158,15,5.082776
-13.507523,41,5.114673
-13.986311,51,5.15481
5.158479,15,5.167243
-23.172676,54,5.209747
-33.959216,47,5.247402
-57.747646,142,5.359685
-12.705067,15,5.372025
-27.044971,23,5.390572
-31.979065,185,5.537253
-24.380265,33,5.563835
9.591378,19,5.57909
-60.174812,200,5.738127
-6.378142,34,5.765316
-363.160996,1000,6.578836
-1.41881,19,6.593796
-28.706114,42,6.628809
-22.528914,61,6.677464
-6.867521,25,6.697089
37.661373,68,6.750912
-2.509874,14,6.762453
-352.333137,1000,7.577581
-8.305011,91,7.649951
-321.977738,1000,8.463049
-323.135941,1000,9.281904
-81.792888,96,9.358431
-2.209612,73,9.416358
0.012622,91,9.487818
-69.78262,78,9.551022
-29.045891,46,9.586864
-29.011617,34,9.614331
-21.485743,304,9.853482
-40.894648,203,17.288411
-27.08584,92,18.095797
-139.558002,332,21.203814
-438.414996,1000,30.386919
-19.789502,17,30.546988
-542.741942,1000,39.898246
-40.853437,37,40.239267
-491.666076,1000,49.633767
-29.628603,67,50.272025
-26.30815,63,50.910602
-553.982051,1000,60.383936
-5.13291,21,60.578083
-49.647318,62,61.14785
-436.480301,1000,71.150388
-63.144276,63,71.775422
-36.866263,144,73.243327
-19.934397,74,74.000481
-17.705416,37,74.37969
-29.012556,116,75.583509
-7.660025,53,76.116622
-40.63422,39,76.502504
-8.685701,12,76.6284
-40.147688,56,77.206595
-36.640825,64,77.863015
-75.744605,257,80.532276
-13.644513,19,80.729344
-1.444944,53,81.277772
3.318301,12,81.400302
-97.200118,105,82.532261
-85.972984,109,83.648954
-7.348481,50,84.177023
-13.739697,19,84.373987
-19.376162,87,85.291309
-15.311907,87,86.181607
-10.170146,31,86.497676
-444.912674,1000,99.478273
-13.596178,63,100.293596
-8.433509,17,100.520115
-357.728378,1000,113.396826
-142.338714,291,117.131224
-90.981641,217,120.064233
-147.119074,1000,137.832539
-81.027232,224,140.731251
-43.364805,1000,153.779309
-51.294678,1000,166.864169
-25.109713,172,169.174898
-9.431951,81,170.250485
-111.777974,633,178.783738
35.708295,392,183.907344
133.810652,1000,196.73466
148.60915,416,202.03751
60.870486,301,205.86867
31.417896,69,206.760587
326.372146,1000,219.451072
129.639482,417,224.761946
340.946315,1000,237.562571
268.587124,1000,250.35956
445.285721,1000,270.861753
214.724928,607,278.651829
463.811224,1000,291.499568
266.922597,591,299.113788
373.415609,1000,311.840253
282.408544,1000,324.742646
223.272617,811,335.181081
404.135315,1000,348.076867
450.677161,1000,360.995586
382.839038,1000,373.92082
435.874818,1000,386.757181
506.44799,1000,406.699068
269.573948,1000,419.155313
417.402454,1000,432.084857
209.526365,669,440.707874
436.878237,1000,453.735792
469.638881,1000,466.67414
71.757669,338,471.016554
488.780173,1000,483.942389
493.370129,1000,497.110157
492.517669,1000,510.09165
484.037538,1000,522.783218
441.957207,1000,543.203641
104.063613,163,545.307243
404.328843,1000,558.17737
490.00487,1000,571.109969
492.595863,966,583.31355
371.858549,1000,596.174286
549.017352,1000,609.074543
396.715392,1000,621.705276
464.511818,1000,634.555165
167.861393,352,639.084853
486.274215,842,649.878267
155.255624,331,654.148531
417.025607,1000,672.539912
366.29769,1000,685.533751
300.751692,589,693.102779
568.960633,1000,705.989956
529.280515,1000,718.835229
392.264391,1000,731.543586
526.266256,1000,744.214361
577.364285,1000,757.108759
590.005275,1000,770.053285
103.31544,189,772.479658
48.607024,81,773.511092
551.566858,1000,786.488931
497.772937,850,804.812409
483.043546,1000,817.733325
571.082269,1000,830.368948
399.761251,959,842.7127
521.325382,1000,855.617982
425.900406,651,864.007726
366.897035,1000,876.842067
374.82703,793,887.105586
593.289847,1000,899.988054
492.099057,867,910.949579
645.615559,1000,923.908201
427.489915,1000,943.627929
632.990675,1000,956.50595
195.838435,251,959.735896
599.655807,1000,972.643662
596.052182,1000,985.503769
629.401568,1000,998.412885
676.804874,1000,1011.204012
680.356146,1000,1024.087208
655.272305,1000,1036.725432
614.997374,1000,1049.654554
700.100976,1000,1062.597393
291.309919,447,1075.057125
6.633692,9,1075.168997
631.071184,1000,1088.043818
646.617667,1000,1100.890421
275.922733,467,1106.894909
618.674618,1000,1119.703652
184.565716,399,1124.862138
683.186004,1000,1137.496348
643.699264,1000,1150.434564
644.682851,1000,1163.316221
662.451002,1000,1176.201843
678.560693,1000,1188.974005
631.080974,1000,1201.867906
646.914678,1000,1222.734729
684.538217,1000,1235.178164
746.106249,1000,1248.080202
707.204,1000,1260.986084
745.589253,1000,1273.835126
614.103425,1000,1286.67606
730.808853,1000,1299.564653
658.780037,1000,1312.374772
493.514756,617,1320.306792
709.844518,1000,1333.18205
704.858161,1000,1353.69756
757.248559,1000,1366.602482
589.962121,1000,1379.450695
707.174993,1000,1392.337135
884.13581,1000,1404.849543
745.579875,1000,1417.661894
745.207936,1000,1430.596768
796.188196,1000,1443.186799
770.181868,1000,1456.081261
705.638579,1000,1468.94111
733.484895,1000,1489.806798
671.396236,1000,1502.711438
859.223905,1000,1515.604566
796.738103,1000,1528.524337
755.448087,1000,1541.32752
823.291685,1000,1553.734475
820.224119,1000,1566.269707
832.089245,1000,1579.108506
663.457187,1000,1591.942406
818.194676,1000,1604.797569
767.884432,1000,1625.486774
846.859707,1000,1638.349477
853.19801,1000,1651.048727
748.160267,1000,1663.964684
862.325455,1000,1676.795832
482.720013,722,1686.040371
808.365861,1000,1698.874717
839.776332,1000,1711.712392
773.206061,1000,1724.416226
895.777021,1000,1737.078694
817.054733,1000,1757.637575
793.714352,1000,1770.522235
843.230103,1000,1783.381075
894.916734,1000,1796.249394
928.834611,1000,1809.091384
904.080698,1000,1821.978536
864.659613,1000,1834.837127
973.929777,1000,1847.729225
846.712622,1000,1860.259233
612.630933,1000,1873.189235
1017.383526,1000,1893.598681
898.533002,1000,1906.40564
941.283248,1000,1919.269656
891.222362,1000,1932.081013
905.836861,1000,1944.934143
915.761859,1000,1957.441646
920.422769,1000,1970.269998
935.776537,1000,1983.130157
