#{"t_start": 1602709265.441255, "env_id": "HalfCheetah-v2"}
r,l,t
-184.423721,1000,2.605373
-277.040778,1000,2.964736
-320.1583,1000,3.342674
-242.933246,1000,3.706322
-231.566445,1000,4.074045
-296.236727,1000,4.435816
-245.612469,1000,4.806165
-278.065876,1000,5.228945
-359.067108,1000,5.595978
-267.883258,1000,5.954453
-363.606414,1000,20.623526
-194.334788,1000,30.985749
-243.167154,1000,40.48985
-241.938565,1000,50.606899
-241.648983,1000,60.993999
-258.474393,1000,71.379713
-245.171978,1000,80.423648
-257.691324,1000,90.607888
-246.139851,1000,100.914051
-313.924771,1000,111.301151
-178.787366,1000,125.344589
-218.344365,1000,135.773833
-209.843122,1000,146.093015
-542.692075,1000,156.609617
-463.604657,1000,167.027843
-445.638562,1000,175.94843
317.016639,1000,186.41564
80.987746,1000,196.734035
88.135758,1000,207.18328
692.634084,1000,217.555271
541.654263,1000,231.571659
806.183649,1000,241.977209
920.978978,1000,250.76854
909.613043,1000,260.855791
1228.163958,1000,271.281482
1415.556459,1000,281.654927
1666.094658,1000,292.081372
661.686288,1000,301.881354
2206.768607,1000,311.576317
2036.816572,1000,321.948589
2771.808823,1000,335.929168
2682.763272,1000,346.379241
2757.624667,1000,356.772351
2765.420498,1000,367.195625
2756.927069,1000,377.563026
2728.946438,1000,387.990673
2750.058021,1000,398.416299
2935.762899,1000,408.829237
3093.430367,1000,418.551378
2712.50375,1000,428.293451
2725.961442,1000,440.78658
2909.887078,1000,451.175177
2988.779312,1000,461.537176
3093.126543,1000,471.898822
3235.277873,1000,482.311749
2841.779282,1000,492.71254
2894.306494,1000,503.08083
3307.162151,1000,513.477254
2888.287436,1000,523.84795
2834.929906,1000,534.252887
3132.56746,1000,548.147577
2951.635475,1000,558.522229
3118.405729,1000,567.968252
3448.334834,1000,577.806906
3320.866573,1000,587.096304
3239.210403,1000,596.781877
3306.368326,1000,607.121161
3419.639339,1000,617.542411
3472.195237,1000,627.947463
3407.385403,1000,638.355674
3241.529741,1000,652.353714
1154.430436,1000,662.77837
3486.611868,1000,673.230096
3611.500809,1000,683.580452
3521.896686,1000,693.941389
3798.245602,1000,702.997012
3477.985117,1000,713.359085
3571.300748,1000,723.770765
3729.531846,1000,734.169422
3668.886638,1000,744.611858
3521.1157,1000,757.502093
3766.74321,1000,767.937249
3516.04437,1000,778.368014
3692.505943,1000,788.813065
3775.79341,1000,799.160834
3647.523523,1000,809.516835
3695.924157,1000,819.891077
3788.821272,1000,829.891528
3809.206719,1000,839.504038
3722.837147,1000,849.949314
3608.49604,1000,863.937216
3635.543893,1000,874.432087
3667.596017,1000,884.908714
3735.766744,1000,895.305179
3598.442663,1000,905.693952
1519.548316,1000,916.093099
3699.542156,1000,925.586757
3790.545751,1000,936.006149
3837.376693,1000,946.363977
3630.763443,1000,956.746316
3804.343055,1000,969.651968
3588.239327,1000,980.034069
3731.451829,1000,990.459548
3834.094772,1000,1000.852729
3833.874069,1000,1011.192226
3715.503875,1000,1021.601977
3900.748106,1000,1032.001808
3767.507733,1000,1042.386149
3924.836363,1000,1052.839067
3736.613604,1000,1063.252777
3829.744037,1000,1077.100298
3723.683592,1000,1087.460198
3790.477178,1000,1095.257774
3931.529787,1000,1105.544655
3765.123354,1000,1115.879737
3752.180245,1000,1126.176352
3673.627477,1000,1136.557341
3801.550042,1000,1146.949327
3891.988912,1000,1157.352013
3644.921883,1000,1167.683174
3883.159827,1000,1181.602018
3864.499056,1000,1191.928965
3830.321902,1000,1202.286232
3916.850661,1000,1212.721355
3732.23778,1000,1222.897768
3872.981517,1000,1232.172354
3876.144825,1000,1242.593964
3922.877181,1000,1252.971776
3755.958866,1000,1262.060915
3770.410378,1000,1271.885852
3901.852499,1000,1285.83104
3747.375238,1000,1296.227001
4003.753782,1000,1306.624201
3870.95789,1000,1317.07173
3756.649508,1000,1327.475165
3892.381945,1000,1337.852776
3882.252602,1000,1348.251218
3913.979234,1000,1357.687089
3841.409496,1000,1367.636063
3944.972647,1000,1378.102203
3870.884396,1000,1392.100485
4110.123266,1000,1402.480831
3656.28264,1000,1412.961843
3904.870784,1000,1423.441238
4003.201289,1000,1432.608197
3958.843599,1000,1442.498938
