#{"t_start": 1603760355.0256736, "env_id": "Humanoid-v2"}
r,l,t
162.768008,33,2.177194
105.790891,21,2.200733
166.92561,34,2.242354
104.001147,21,2.264622
118.869884,24,2.290221
110.587388,22,2.314461
88.482417,18,2.329996
124.171652,25,2.354158
118.643794,24,2.378716
198.465085,41,2.42465
83.439922,17,2.440921
82.969378,17,2.457525
82.395194,17,2.473989
125.718621,26,2.501852
98.228679,20,2.522663
146.902701,30,2.556068
83.443631,17,2.575325
146.168357,31,2.612544
149.421771,30,2.643507
124.030963,25,2.668261
83.844564,17,2.684169
83.12657,17,2.701847
127.720657,26,2.729101
94.531907,19,2.748577
155.72935,31,2.78242
145.481648,30,2.815623
155.239569,33,2.84942
125.472337,25,2.877103
209.282591,41,2.922401
147.887122,30,2.952792
111.475355,23,2.975615
110.471013,22,2.998354
88.731511,18,3.017839
158.226889,33,3.057797
104.021518,21,3.080219
94.883618,19,3.106474
134.850803,30,3.144046
98.934021,20,3.163558
100.001863,20,3.184295
144.586758,31,3.214286
131.563222,27,3.240679
115.725633,23,3.265559
83.433856,17,3.281258
118.337559,24,3.304864
111.592648,22,3.326166
108.553984,22,3.346843
141.764888,29,3.376286
121.606635,24,3.399601
114.257136,23,3.422556
83.410887,17,3.437677
91.589883,19,3.457398
154.609386,31,3.489384
120.326983,24,3.512938
181.307645,40,3.560656
120.349093,24,3.590399
92.974014,19,3.609214
126.260155,26,3.634245
89.170003,18,3.651266
88.371483,18,3.668079
134.738746,28,3.695947
207.905353,42,3.740602
98.404043,20,3.759483
98.909729,20,3.77969
103.014717,21,3.805161
116.749454,23,3.829418
87.786536,18,3.852296
94.358005,19,3.8695
205.587164,44,3.915322
88.94561,18,3.932866
107.747621,22,3.956313
104.183659,21,3.975733
87.690514,18,3.992789
88.552457,18,4.00823
88.110308,18,4.028447
94.434594,19,4.050041
143.346438,31,4.085903
97.761622,20,4.106729
82.569183,17,4.12245
140.389123,29,4.151526
83.018872,17,4.170506
168.46832,35,4.208026
227.716989,48,4.258039
120.189223,24,4.282079
110.266843,22,4.305532
128.802113,27,4.334889
88.435793,18,4.351422
90.500872,19,4.370458
94.120894,19,4.389395
88.054005,18,4.406822
148.449718,30,4.438666
136.347232,28,4.468102
88.824624,18,4.484221
107.323262,23,4.508076
104.330561,21,4.527886
121.847257,25,4.555033
93.712258,19,4.573906
100.370419,20,4.595066
201.72939,45,4.647932
83.570103,17,4.664072
93.297226,19,4.681641
114.777145,23,4.703834
135.411008,27,4.732442
146.804321,32,4.763
93.388815,19,4.781493
106.854302,22,4.802856
94.92214,19,4.822013
121.904344,24,4.847969
121.490308,25,4.874771
93.555758,19,4.893584
93.471821,19,4.913016
83.434558,17,4.929061
103.229029,21,4.949141
83.373883,17,4.965129
220.475717,46,5.014541
94.383399,19,5.034769
100.897494,21,5.055402
148.233706,30,5.085328
155.317132,31,5.117184
106.604366,23,5.140551
123.091456,25,5.168173
87.549202,18,5.186271
171.891949,36,5.225122
99.075635,20,5.246612
117.400802,24,5.272799
83.283741,17,5.290024
90.21596,18,5.308143
89.718131,18,5.325344
251.442694,52,5.385634
150.318998,30,5.416767
137.874373,28,5.44452
120.838265,24,5.467776
83.609226,17,5.482487
88.261539,18,5.499746
115.397819,23,5.522815
136.021422,28,5.552878
147.343097,32,5.585679
115.483779,25,5.609919
123.899729,24,5.636171
116.970479,23,5.659622
94.482761,19,5.678134
142.857917,29,5.71256
217.602426,43,5.758324
98.308872,20,5.778351
207.844272,43,5.830167
107.829857,22,5.851753
140.567511,29,5.881065
116.332866,24,5.905578
83.160943,17,5.921717
87.913783,18,5.93909
152.175952,31,5.970741
159.349115,32,6.003518
89.542369,18,6.019885
89.06929,18,6.03802
153.266022,31,6.07156
94.784854,19,6.092304
88.192379,18,6.109709
102.689277,21,6.130546
88.642059,18,6.14883
111.876217,23,6.173488
112.267403,23,6.197735
165.240264,35,6.235051
131.385673,26,6.267769
93.429604,19,6.289843
81.743949,17,6.306883
83.290142,17,6.321528
83.670236,17,6.337593
191.430343,39,6.376689
97.473257,20,6.39573
86.127072,18,6.414142
83.304869,17,6.430429
112.827724,23,6.454595
98.62823,20,6.473479
154.833107,34,6.507665
93.563152,19,6.52794
205.29817,41,6.572293
109.937014,22,6.59407
136.13393,29,6.623358
93.898314,19,6.642316
83.412463,17,6.658492
89.480438,18,6.675233
83.33628,17,6.691504
81.45306,17,6.708985
119.959507,24,6.732126
89.111753,18,6.748907
94.852921,19,6.766513
88.325423,18,6.782262
169.784445,35,6.817654
121.624673,25,6.840638
82.130968,17,6.856169
116.26887,23,6.878184
122.952856,25,6.902938
123.262558,25,6.927509
168.817583,36,6.965505
158.226116,32,6.998007
94.180061,19,7.015947
112.694136,23,7.039052
97.336154,20,7.05807
98.538225,20,7.07706
87.787751,18,7.094594
88.383524,18,7.111417
118.721089,24,7.136528
99.77792,20,7.155523
213.32114,42,7.201897
111.834205,23,7.248315
114.369236,23,7.273861
128.194593,26,7.301334
