#{"t_start": 1602724255.1230607, "env_id": "Reacher-v2"}
r,l,t
-46.450228,50,2.325609
-36.726107,50,2.342669
-44.707511,50,2.361455
-40.599968,50,2.378358
-46.978694,50,2.395376
-44.121759,50,2.412826
-36.705113,50,2.430141
-39.744841,50,2.447344
-39.808184,50,2.465112
-46.633025,50,2.484191
-41.625484,50,2.503822
-44.175128,50,2.520831
-40.600152,50,2.539555
-47.279061,50,2.557597
-39.097646,50,2.574621
-42.895281,50,2.592271
-39.402891,50,2.61039
-38.202073,50,2.628027
-48.174067,50,2.645864
-51.829277,50,2.663755
-39.566798,50,2.681167
-38.365762,50,2.6988
-42.492381,50,2.715419
-43.959128,50,2.733575
-44.821423,50,2.751855
-42.436787,50,2.768787
-48.663709,50,2.786809
-40.247219,50,2.803979
-43.788628,50,2.821732
-37.483369,50,2.839288
-46.114204,50,2.856062
-42.514637,50,2.873826
-44.943665,50,2.890955
-34.431174,50,2.908287
-40.752912,50,2.924804
-41.32389,50,2.942482
-39.090643,50,2.959822
-41.139206,50,2.977125
-44.11924,50,2.995085
-42.266931,50,3.012292
-41.257359,50,3.029442
-48.038039,50,3.046848
-34.988346,50,3.064931
-38.039054,50,3.08265
-44.817488,50,3.100984
-42.132193,50,3.118641
-37.809225,50,3.136672
-32.386931,50,3.153727
-45.821307,50,3.171231
-42.439456,50,3.189276
-49.608272,50,3.207059
-39.659929,50,3.224967
-42.998617,50,3.242851
-41.912263,50,3.262076
-46.186453,50,3.281002
-46.681221,50,3.300547
-41.855635,50,3.320069
-43.411586,50,3.338332
-42.531076,50,3.356268
-44.731137,50,3.373783
-40.986771,50,3.391465
-51.908631,50,3.408656
-39.180245,50,3.426721
-42.34324,50,3.444851
-35.88238,50,3.462001
-41.474771,50,3.478726
-43.429808,50,3.49496
-44.01096,50,3.511907
-52.245952,50,3.529986
-42.251058,50,3.547681
-44.228278,50,3.564856
-39.618465,50,3.582005
-38.074094,50,3.600889
-38.485285,50,3.61914
-38.339755,50,3.637052
-36.320243,50,3.655445
-46.162277,50,3.673214
-43.172275,50,3.691204
-42.945886,50,3.708871
-38.744127,50,3.726042
-42.629699,50,3.744788
-41.696811,50,3.761891
-40.324112,50,3.77956
-44.705273,50,3.797794
-55.480517,50,3.8146
-44.285577,50,3.83219
-46.67391,50,3.850421
-44.360051,50,3.868336
-46.596938,50,3.886494
-43.48292,50,3.903949
-43.181954,50,3.92152
-42.418678,50,3.938367
-45.104994,50,3.956293
-41.139488,50,3.973933
-45.999436,50,3.991778
-50.732262,50,4.009535
-50.726424,50,4.027907
-43.91986,50,4.045742
-47.479802,50,4.064969
-44.759612,50,4.084828
-43.073002,50,4.102012
-39.185179,50,4.118885
-46.048584,50,4.136191
-41.241932,50,4.154618
-38.449242,50,4.172569
-43.527933,50,4.189553
-43.318962,50,4.207158
-48.899154,50,4.224236
-40.354011,50,4.242986
-42.984862,50,4.260203
-46.314861,50,4.278909
-37.120575,50,4.297084
-43.020119,50,4.314732
-39.982608,50,4.333044
-53.083454,50,4.351253
-43.630487,50,4.368315
-48.941524,50,4.386605
-41.923061,50,4.404601
-39.918611,50,4.422256
-39.642432,50,4.44029
-47.163141,50,4.458693
-39.858547,50,4.476381
-39.921755,50,4.493584
-44.710152,50,4.511463
-41.773664,50,4.52982
-30.991249,50,4.547136
-40.190382,50,4.56584
-44.721452,50,4.584358
-42.952881,50,4.602044
-49.504958,50,4.621012
-43.557966,50,4.640605
-47.560837,50,4.657133
-40.392717,50,4.675456
-42.842743,50,4.693829
-45.156914,50,4.711794
-38.024021,50,4.729089
-40.33342,50,4.746707
-42.375071,50,4.764613
-45.688551,50,4.782159
-47.383534,50,4.800011
-40.68229,50,4.818372
-39.148681,50,4.83617
-42.064751,50,4.853506
-50.28278,50,4.871165
-46.035766,50,4.888796
-40.360308,50,4.963065
-40.873203,50,4.981635
-39.720419,50,4.998878
-44.104177,50,5.017654
-43.682134,50,5.036323
-40.900851,50,5.05358
-42.94165,50,5.071344
-43.185542,50,5.089869
-46.257438,50,5.108761
-41.881223,50,5.128633
-42.01531,50,5.145969
-45.962221,50,5.163099
-48.66708,50,5.18153
-45.623837,50,5.199985
-42.456374,50,5.216616
-46.295593,50,5.235116
-47.936231,50,5.252296
-43.06815,50,5.269772
-46.399792,50,5.288554
-43.486088,50,5.309026
-47.227185,50,5.328086
-38.524369,50,5.345432
-41.065182,50,5.362444
-45.509816,50,5.380205
-41.985268,50,5.397548
-43.478907,50,5.415206
-42.805679,50,5.432487
-43.820279,50,5.449955
-39.056823,50,5.466516
-41.978388,50,5.484503
-43.218634,50,5.502208
-48.917433,50,5.519974
-46.905931,50,5.538602
-45.532497,50,5.556455
-43.484703,50,5.5739
-42.325895,50,5.591929
-42.864623,50,5.610083
-44.895104,50,5.628626
-43.484912,50,5.646872
-42.753768,50,5.66512
-42.422495,50,5.682009
-43.764568,50,5.698703
-52.585945,50,5.716283
-43.543676,50,5.73715
-38.958025,50,5.75529
-42.156975,50,5.773253
-37.723232,50,5.791316
-45.057232,50,5.809614
-42.62359,50,5.827294
-37.629164,50,5.845797
-44.197419,50,5.863771
-48.401852,50,5.882998
-43.089385,50,5.90078
-47.854306,50,5.919943
-44.939897,50,5.938926
-51.69438,50,7.276825
-43.534042,50,7.788216
-42.001505,50,8.295159
-46.610135,50,8.802151
-46.06539,50,9.31879
-39.742707,50,9.848814
-44.251156,50,10.372951
-38.819304,50,10.89772
-44.168568,50,11.420512
-44.020756,50,11.944886
-39.181779,50,12.460439
-37.268152,50,12.983905
-37.458379,50,13.507086
-29.180438,50,14.017743
-34.958972,50,14.535732
-33.27216,50,15.073241
-33.479434,50,15.594055
-45.212905,50,16.119914
-36.955705,50,16.637121
-33.207329,50,17.162023
-31.529466,50,17.672527
-29.545711,50,18.182525
-27.608159,50,18.704355
-32.372777,50,19.209183
-36.0344,50,19.728073
-31.161451,50,20.24614
-31.708917,50,20.762236
-34.075158,50,21.270328
-33.71257,50,21.791017
-31.798329,50,22.307832
-23.612803,50,22.837258
-32.830597,50,23.351583
-33.952797,50,23.862385
-30.71028,50,24.384131
-28.096575,50,24.91154
-23.761852,50,25.432805
-28.59007,50,25.941912
-33.681842,50,26.460292
-22.529165,50,26.989722
-28.897427,50,27.510627
-31.053271,50,28.032455
-27.106516,50,28.540947
-33.44899,50,29.048584
-29.465489,50,29.558774
-35.748418,50,30.077896
-31.337774,50,30.596061
-29.758126,50,31.107573
-30.105317,50,31.637898
-32.661445,50,32.153236
-22.922576,50,32.672271
-22.95418,50,33.233038
-28.080826,50,33.756695
-30.202471,50,34.284718
-29.748076,50,34.809135
-31.029624,50,35.321796
-29.00354,50,35.829826
-30.927044,50,36.364103
-34.653097,50,36.889324
-27.734464,50,37.397791
-24.280447,50,37.922243
-22.915462,50,38.435671
-22.882235,50,38.941015
-21.746713,50,39.464269
-22.77215,50,39.982631
-22.943841,50,40.493944
-28.127425,50,41.018907
-20.529963,50,41.549448
-26.700493,50,42.089734
-21.324387,50,42.610286
-19.629733,50,43.139098
-22.275613,50,43.653589
-17.793762,50,44.23548
-26.783731,50,44.751059
-26.723225,50,45.279283
-21.496262,50,45.806606
-26.612018,50,46.31523
-24.333222,50,46.834652
-26.769208,50,47.353397
-22.196632,50,47.880398
-28.109189,50,48.399723
-20.44279,50,48.914187
-23.035989,50,49.43933
-25.709584,50,49.968255
-22.453069,50,50.481196
-20.528556,50,50.99649
-17.134039,50,51.514187
-26.350837,50,52.03362
-17.956769,50,52.544438
-15.191425,50,53.067356
-21.185959,50,53.583973
-20.108531,50,54.096141
-20.143414,50,54.606199
-17.408302,50,55.154174
-20.695007,50,55.671859
-21.978971,50,56.196711
-21.562417,50,56.712673
-15.522201,50,57.250272
-24.924741,50,57.778189
-20.20443,50,58.288582
-18.830339,50,58.811293
-22.094031,50,59.332261
-23.160807,50,59.836359
-21.755196,50,60.353277
-15.34171,50,60.871432
-20.10266,50,61.399025
-17.5292,50,61.919393
-19.544487,50,62.437104
-19.876259,50,62.975626
-17.570436,50,63.509349
-16.868021,50,64.020337
-23.073192,50,64.532413
-15.77825,50,65.071475
-15.319799,50,65.590532
-13.98414,50,66.109371
-11.704469,50,66.570707
-23.374775,50,66.992145
-15.712227,50,67.418055
-13.318398,50,67.841207
-11.964895,50,68.263813
-16.556562,50,68.689441
-18.817466,50,69.112022
-18.278363,50,69.540758
-14.212111,50,69.964987
-14.588258,50,70.477821
-18.377309,50,70.992138
-16.850671,50,71.511595
-11.533855,50,72.027914
-12.778871,50,72.553545
-14.65121,50,73.074422
-14.686686,50,73.590417
-17.946728,50,74.11714
-16.832072,50,74.643491
-13.199998,50,75.167667
-19.273069,50,75.688617
-9.801005,50,76.217012
-9.369446,50,76.740195
-10.822593,50,77.265387
-13.514555,50,77.785894
-15.144229,50,78.303862
-8.988462,50,78.81168
-13.966336,50,79.330888
-10.01334,50,79.855251
-9.826998,50,80.390515
-17.307468,50,80.932811
-15.878261,50,81.449443
-10.169761,50,81.973623
-12.161485,50,82.496483
-10.581469,50,83.013536
-14.187974,50,83.529729
-11.916968,50,84.047807
-10.434852,50,84.561162
-8.867533,50,85.106457
-13.760169,50,85.619473
-9.626462,50,86.138255
-12.958713,50,86.648903
-11.740371,50,87.179136
-11.171322,50,87.686537
-14.209719,50,88.209337
-12.310462,50,88.72876
-15.577961,50,89.242557
-9.703773,50,89.748038
-18.445361,50,90.268076
-12.94466,50,90.787942
-12.61919,50,91.315696
-11.307276,50,91.834296
-12.997415,50,92.355114
-9.708343,50,92.869027
-13.621678,50,93.390261
-9.070857,50,93.906456
-11.805802,50,94.424027
-16.33642,50,94.937692
-8.650236,50,95.45927
-8.697853,50,95.979249
-8.441087,50,96.488817
-11.635446,50,97.008801
-11.727775,50,97.515893
