verbose,N_E_traj,add_history,RL_expert_folder,N_agg_iter,N_epoch,total_opt_steps,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,loss_test,loss_train,final,class_test,runtime,partial_obs,result_path,reward_std,results_path,render_final,best_ind
0,1,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,76,1.0,1.0,75.99999999999999,-87.6,0.785115659236908,0.7735276818275452,True,0.0,0.006073745091756185,,,,,,
0,1,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Random,Acrobot-v1,76,1.0,1.0,75.99999999999999,-482.9,1.121992588043213,1.092326521873474,True,0.6547472476959229,0.010277032852172852,,,,,,
0,1,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,4.543428897857666,1.1199302889508542e-06,False,0.10974106192588806,0.15695019960403442,,,,,,
0,1,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-69.0,23.424331665039066,6.2741722928194585e-09,False,0.1208384707570076,0.3154327909151713,,,,,,
0,1,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-78.0,25.81572723388672,0.0,False,0.11837238073349,0.4743292689323425,,,,,,
0,1,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-87.0,25.78903388977051,0.0,False,0.1196054220199585,0.6337713003158569,,,,,,
0,1,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,76,1.0,1.0,75.99999999999999,-89.0,25.81572723388672,0.0,True,0.11837238073349,0.8009828011194865,,,,,,
0,1,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,4.370667457580566,9.662136335464309e-07,False,0.10850801318883896,0.17155535221099855,,,,,,
0,1,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,6.865403175354004,1.568542984387022e-08,False,0.11590629070997238,0.3413718263308207,,,,,,
0,1,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-71.0,10.2750825881958,4.705629219614593e-09,False,0.11220715194940567,0.5128020366032918,,,,,,
0,1,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-85.0,33.65366744995117,1.5685431842271667e-09,False,0.10357583314180374,0.6840604662895202,,,,,,
0,1,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,76,1.0,1.0,75.99999999999999,-94.0,33.71515274047852,0.0,True,0.11467324197292328,0.8626045187314352,,,,,,
0,4,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,417,1.0,1.0,417.0,-84.7,0.785115659236908,0.7645819783210754,True,0.0,0.005836117267608643,,,,,,
0,4,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Random,Acrobot-v1,417,1.0,1.0,417.0,-500.0,1.131980299949646,1.1151447296142578,True,0.6596794128417969,0.010646486282348627,,,,,,
0,4,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-84.5,3.531587839126587,0.0018675315659493208,False,0.08631319552659987,0.1644132177035014,,,,,,
0,4,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-69.0,7.122727870941162,0.0010021327761933208,False,0.0912453755736351,0.3306120038032532,,,,,,
0,4,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-77.0,10.914274215698242,1.1395232677459717,False,0.11590629070997238,0.4965332388877869,,,,,,
0,4,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-74.5,15.432302474975586,0.7074264883995056,False,0.10974106192588806,0.663964060942332,,,,,,
0,4,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC,Acrobot-v1,417,1.0,1.0,417.0,-81.0,7.122727870941162,0.0010021327761933208,True,0.0912453755736351,0.8365278204282125,,,,,,
0,4,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-80.5,6.253311634063723,0.0021799446549266572,False,0.0949445143342018,0.17269539833068848,,,,,,
0,4,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-76.0,7.985856056213379,7.188697782112285e-05,False,0.08754623681306839,0.3447717070579529,,,,,,
0,4,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-69.0,9.631988525390623,5.452620462165214e-05,False,0.08631319552659987,0.5184003074963888,,,,,,
0,4,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-81.25,10.801630973815918,3.923054100596346e-05,False,0.090012326836586,0.6907994190851847,,,,,,
0,4,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,BC+H,Acrobot-v1,417,1.0,1.0,417.0,-85.4,11.37416172027588,3.226953049306758e-05,True,0.090012326836586,0.8694498300552368,,,,,,
0,10,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1.0,False,10000000000.0,False,0,False,,10000.0,mse,Expert,Acrobot-v1,894,1.0,1.0,893.9999999999999,-79.4,0.785115659236908,0.7750397324562073,True,0.0,0.0053765177726745605,,,,,,
