verbose,N_E_traj,add_history,RL_expert_folder,N_agg_iter,N_epoch,total_opt_steps,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,learning_rate,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,w_ESS,reward,loss_test,loss_train,final,class_test,runtime,partial_obs,result_path,reward_std
0,1,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Expert,CartPole-v1,500,1.0,1.0,500.0,500.0,0.641765832901001,0.645886242389679,True,0.0,0.02589639027913412,,,
0,1,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Random,CartPole-v1,500,1.0,1.0,500.0,20.1,0.7189887166023254,0.7159639596939087,True,0.4993999898433685,0.0010407725969950358,,,
0,1,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,500,1.0,1.0,500.0,426.0,2.9524745941162114,0.01674838177859783,False,0.0966000035405159,0.16854015986124676,,,
0,1,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,500,1.0,1.0,500.0,415.0,4.705361843109131,0.006448199972510339,False,0.1005999967455864,0.3471250693003337,,,
0,1,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,500,1.0,1.0,500.0,500.0,5.385315418243408,0.003725650487467647,False,0.09459999948740004,0.5309462706247966,,,
0,1,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,500,1.0,1.0,500.0,403.0,4.896430492401123,0.0028507572133094072,False,0.08900000154972076,0.7137272477149963,,,
0,1,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,500,1.0,1.0,500.0,463.9,4.3587822914123535,0.001729522948153317,True,0.07900000363588333,0.9292884906133017,,,
0,1,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,500,1.0,1.0,500.0,377.0,1.8040523529052728,0.015665385872125626,False,0.09520000219345093,0.17902344465255735,,,
0,1,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,500,1.0,1.0,500.0,500.0,2.3803093433380127,0.016281947493553158,False,0.09300000220537186,0.3606785257657369,,,
0,1,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,500,1.0,1.0,500.0,392.0,2.678281545639038,0.004092189017683268,False,0.10100000351667404,0.5552823384602864,,,
0,1,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,500,1.0,1.0,500.0,500.0,2.8802776336669917,0.0059243976138532144,False,0.0828000009059906,0.7390108982721965,,,
0,1,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,500,1.0,1.0,500.0,467.1,3.631758689880371,0.002999832620844245,True,0.08340000361204147,0.9590645551681518,,,
0,4,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Expert,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.641765832901001,0.6431481838226318,True,0.0,0.024632056554158527,,,
0,4,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Random,CartPole-v1,2000,1.0,1.0,2000.0,21.8,0.7130777835845947,0.7124361395835876,True,0.5054000020027161,0.0011307160059611002,,,
0,4,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.0923539698123932,0.06364481896162033,False,0.026399999856948853,0.19454511801401767,,,
0,4,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.17196409404277802,0.09778091311454773,False,0.04259999841451645,0.3871288100878398,,,
0,4,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.13285553455352786,0.04725458100438118,False,0.03500000014901161,0.5813296953837077,,,
0,4,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.1423054337501526,0.0626363754272461,False,0.035999998450279236,0.7729389985402425,,,
0,4,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.12130671739578247,0.0438823364675045,True,0.03060000017285347,0.9981980363527934,,,
0,4,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.10755480825901033,0.08621738851070404,False,0.03420000150799751,0.2140177090962728,,,
0,4,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.12363476306200027,0.07910670340061188,False,0.03559999912977218,0.43584532737731935,,,
0,4,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.130269855260849,0.06498095393180847,False,0.03720000013709068,0.6567560275395711,,,
0,4,True,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.13218367099761966,0.050110697746276855,False,0.03500000014901161,0.8781704227129619,,,
0,4,True,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,2000,1.0,1.0,2000.0,500.0,0.1421884149312973,0.04488972947001457,True,0.03319999948143959,1.1238969882329306,,,
0,10,False,my_RL_experts,1,5,500000,,False,,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Expert,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.641765832901001,0.6412022709846497,True,0.0,0.026820246378580728,,,
0,10,False,my_RL_experts,1,5,500000,,False,0.0,,True,linear,poly 2,0.01,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,Random,CartPole-v1,5000,1.0,1.0,5000.0,30.9,0.7096772193908691,0.7095537185668945,True,0.5049999952316284,0.0013512134552001952,,,
0,10,False,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.09598630666732788,0.10349967330694199,False,0.03620000183582306,0.2439596454302469,,,
0,10,False,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.08562556654214859,0.08931544423103333,False,0.032999999821186066,0.4877563754717509,,,
0,10,False,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.06471943110227585,0.06769911199808121,False,0.021800000220537186,0.7317559202512105,,,
0,10,False,my_RL_experts,5,10,1600000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.06260896474123001,0.06196795031428338,False,0.025200000032782555,0.9710459232330322,,,
0,10,False,my_RL_experts,5,10,2000000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.06260896474123001,0.06196795031428338,True,0.025200000032782555,1.2128962675730388,,,
0,10,True,my_RL_experts,5,10,400000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.10325495898723602,0.10796881467103958,False,0.03799999877810478,0.2426989912986756,,,
0,10,True,my_RL_experts,5,10,800000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.12242619693279265,0.11243869364261627,False,0.04879999905824661,0.4845322370529175,,,
0,10,True,my_RL_experts,5,10,1200000,,False,0.0,0.0,True,linear,poly 2,0.1,[64],False,10,10,128,False,False,True,False,1,False,10000000000.0,False,0,False,,10000,mse,BC+H,CartPole-v1,5000,1.0,1.0,5000.0,500.0,0.11336201429367065,0.10566607862710953,False,0.04259999841451645,0.7252159118652344,,,
