verbose,total_opt_steps,N_epoch,N_E_traj,add_history,N_agg_iter,random_demos,RL_expert_folder,RL_expert_load_best,learning_rate,H_dims,loss_function,partial_obs,result_path,kill_feats,pair_E_s0,run_seed,opt_seed,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_algo,T_max,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,results_path,render_final,best_ind
4,8000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,515.4725656081926,1951.1915395145693,0.16712084412574768,0.14666607975959778,0.16712084412574768,9.045576997598012,,,
4,16000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,1018.3761961141067,2382.821966065376,0.1427859216928482,0.11840087920427322,0.1427859216928482,18.36793673038483,,,
4,24000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-1197.5030358182555,7303.863208346499,0.13070861995220184,0.10402154177427292,0.13070861995220184,27.982649306456253,,,
4,32000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-314.07947737832694,501.73273346602286,0.12335717678070067,0.095368854701519,0.12335717678070067,36.68941931327184,,,
4,40000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],mse,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,True,25000.0,725.551121237876,3145.120091768274,0.11760187894105913,0.08801446110010147,0.11760187894105913,46.62352769772212,,,
4,8000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L2,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-343.5023259567325,301.8949422028768,0.3230782747268677,0.30443093180656433,0.3230782747268677,10.207731862862904,,,
4,16000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L2,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-137.42375489231836,854.1515293036148,0.2999431788921356,0.2787854075431824,0.2999431788921356,21.680318737030028,,,
4,24000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L2,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,87.81869511476673,1372.0368786954637,0.28263863921165466,0.25918444991111755,0.28263863921165466,33.615396507581075,,,
4,32000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L2,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-1123.6812753836741,9672.660737602193,0.2722669243812561,0.247515082359314,0.2722669243812561,45.89608294169109,,,
4,40000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L2,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,True,25000.0,-1850.782629607341,8063.942100429373,0.26924991607666016,0.2440338432788849,0.26924991607666016,57.9627145965894,,,
4,8000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L1,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,89.20682621242878,297.44836500736784,0.62041836977005,0.5839141607284546,0.62041836977005,10.514887861410775,,,
4,16000000,10,25,False,5,False,my_RL_experts,True,0.0001,[512],L1,False,results/results-HalfCheetah-v2--exp0.csv,,False,,,True,linear,poly 2,False,10,10,128,False,False,True,False,1.0,False,10000000000.0,0,,10000.0,BC,HalfCheetah-v2,25000,1.0,1.0,False,25000.0,-2890.9477953740334,7515.730600761271,0.5736281871795654,0.5341123938560486,0.5736281871795654,21.64030434687932,,,
