verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,random_demos,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,partial_obs,H_dims,kill_feats,pair_E_s0,pi0_BC_init,density_ratio_feature_map,adversary_feature_map,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,resume_BC,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,switch_2_E_after,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max,loss_function,alg,env_id,N_E_samp,w_max,w_min,final,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime
0,2000000,10,1,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,421.88020013955366,0.0,1.630007266998291,0.0190091859549284,1.630007266998291,2.1632973313331605
0,4000000,10,1,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,846.8402052015042,0.0,1.7414408922195437,0.008331396616995335,1.7414408922195437,4.306394934654237
0,6000000,10,1,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,892.0252635163948,0.0,1.7692031860351562,0.010244780220091343,1.7692031860351562,6.462124367554983
0,8000000,10,1,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,False,1000.0,619.3201481563224,0.0,1.726099729537964,0.002997336909174919,1.726099729537964,8.700187496344249
0,10000000,10,1,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,1000,1.0,1.0,True,1000.0,551.2879805047395,72.40393514925637,1.710968852043152,0.004644966218620539,1.710968852043152,10.955442066987352
0,2000000,10,1,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,156.08287750798843,0.0,1.1095530986785889,0.005929057020694017,1.1095530986785889,2.2523125926653544
0,4000000,10,1,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,807.3824978865938,0.0,1.0158816576004028,0.002774321474134922,1.0158816576004028,4.452235245704651
0,6000000,10,1,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,521.2715046911302,0.0,0.9487359523773192,0.0008503918652422726,0.9487359523773192,6.60485901037852
0,8000000,10,1,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,False,1000.0,255.8657122869978,0.0,0.8812974095344543,0.0015274189645424485,0.8812974095344543,8.64817808866501
0,10000000,10,1,True,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC+H,Hopper-v2,1000,1.0,1.0,True,1000.0,562.6615014528319,233.57348116970425,0.8283002972602844,0.0009416356333531439,0.8283002972602844,10.7226007938385
3,2000000,10,5,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,456.3712598344441,280.68657039049185,1.4163466691970823,0.0497659370303154,1.4163466691970823,2.1292917728424072
3,4000000,10,5,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,490.8356374330808,175.14734953747376,1.6196260452270508,0.027178576216101646,1.6196260452270508,4.411274548371633
3,6000000,10,5,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,803.2808972251078,345.9507839326948,1.7028864622116089,0.018386023119091988,1.7028864622116089,6.697049184640249
3,8000000,10,5,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,False,5000.0,582.4132120178344,8.959393958909748,1.7909083366394043,0.016798751428723342,1.7909083366394043,8.975763626893361
3,10000000,10,5,False,0.0003,False,5,0.0,0,False,my_RL_experts,False,"[512, 128, 32]",,False,True,linear,poly 2,10,10,128,False,False,True,False,1,False,10000000000.0,0,False,,10000,mse,BC,Hopper-v2,5000,1.0,1.0,True,5000.0,368.1924377849558,177.42353884107425,1.877594828605652,0.016604967415332794,1.877594828605652,11.255639445781707
