N_E_traj,verbose,total_opt_steps,kill_feats,add_history,RL_expert_folder,FORWARD,opt_seed,run_seed,learning_rate_BC,learning_rate,density_ratio_feature_map,density_ratio_alpha,results_path,N_ALICE_traj,N_agg_iter,N_epoch,adversary_feature_map,entropy_coeff,H_dims,linear,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,loss_function,alg,env_id,N_E_samp,entropy,num_switched,epoch_losses,best_epoch_ind,mean_abs_logit,min_abs_logit,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,JS_div
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.04492862150073052,0.0,"[0.16110374920070172, 0.19100995, 0.14895284, 0.13876988, 0.12574391]",4.0,1.6729222536087036,0.8524985313415527,1.0,1.0,False,0,1,100.0,1.0,0.0,0.07834471017122269,0.12400027364492415,0.019999999552965164,0.018027647336324056,0.5952437632812825
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.04531930759549141,0.0,"[0.1509923287654965, 0.12597889, 0.12154624, 0.11043475, 0.09941782]",4.0,2.053579092025757,0.2726340591907501,1.0,0.9423605720896342,False,1,1,99.99389951700323,2.0,0.0,0.21923860907554624,0.09820661693811417,0.10000000149011612,0.1860641558965047,0.2587142859730689
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.2271682918071747,0.0,"[0.06895946372766047, 0.06273859, 0.06220795, 0.06130316, 0.060694672]",4.0,0.6327450275421143,0.14210006594657898,1.0,0.024051697154756985,False,2,1,14.408941743074445,3.0,0.0,0.4967219531536102,0.06055314466357231,0.25999999046325684,0.3543681979179382,0.4857196848423401
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.21394264698028564,97.0,"[0.19652372358366846, 0.17517315, 0.17637573, 0.17408787, 0.1737709]",4.0,0.5843479633331299,0.011009067296981813,1.0,0.006437650122014404,False,3,1,31.992107490080105,4.0,0.0,0.3538036346435547,0.17353498935699466,0.119999997317791,0.5847647507985433,1.565702121169419
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.3336668312549591,77.0,"[0.16262723764404655, 0.1629841, 0.16069147, 0.15997644, 0.15887654]",4.0,0.10072190314531326,0.0006662383675575256,1.0,0.007868860191069842,False,4,1,26.42497176649755,5.0,0.0,0.6321567296981812,0.15871113538742065,0.25999999046325684,0.7533191998799642,1.1028270069293515
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.05742715299129486,56.0,"[0.03602353177964687, 0.01885743, 0.013867389, 0.012517147, 0.012108502]",4.0,2.0597391128540044,0.5825046300888062,1.0,0.03478235024095277,False,5,1,23.5803834045023,6.0,0.0,0.12289553880691527,0.012077120132744312,0.03999999910593033,0.955205221970876,0.06921917503062891
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.3164093494415283,54.0,"[0.24880765829781012, 0.20425928, 0.17176664, 0.1480441, 0.1374286]",4.0,0.27194854617118835,0.08047323673963548,1.0,0.0007599321299288043,False,6,1,53.283792459843646,7.0,0.0,0.6777999997138977,0.13663528859615326,0.479999989271164,1.178963561852773,0.06583330085311448
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.0682203620672226,0.0,"[0.01359204173553735, 0.0038298147, 0.002358772, 0.0020495343, 0.0019280261]",4.0,2.668939113616944,0.1607285887002945,1.0,0.0028950632312001665,False,7,1,25.19817271218856,8.0,0.0,0.15429024398326874,0.0019219883251935246,0.059999998658895486,1.3742653687795003,0.18218400912413246
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.17507480084896088,70.0,"[0.06942077750519615, 0.091955334, 0.078194186, 0.058834556, 0.06034883]",3.0,0.8843309879302979,0.17729569971561432,1.0,0.0028686475573705627,False,8,1,47.42664465185346,9.0,0.0,0.7093410491943359,0.059646639972925186,0.3199999928474426,1.5548126141230263,0.3385818367059796
100,2,5000,"(3,)",False,my_RL_experts,True,0,0,0.1,0.01,RuLSIF,1.0,results_dec2020/results-CartPole-v1--initial_param_exploration.csv,100,10,5,,0,"(512,)",False,50,50,128,False,False,,,False,False,,False,0,True,,,,,False,1,,False,0,,1,,ALICE-Cov-PO3,CartPole-v1,50000,0.034422479569911964,0.0,"[0.029859074868800236, 0.024340115, 0.02322253, 0.022755671, 0.022485537]",4.0,2.5927603244781494,0.7400301694869995,1.0,0.00094330587984876,False,9,1,59.1158989040248,10.0,0.0,0.12388068437576295,0.022434186190366745,0.03999999910593033,1.7673263231913248,0.395829864490567
