verbose,total_opt_steps,N_epoch,N_E_traj,add_history,learning_rate,H_dims,N_agg_iter,opt_seed,run_seed,linear,RL_expert_folder,results_path,FORWARD,N_ALICE_traj,kill_feats,density_ratio_feature_map,adversary_feature_map,learning_rate_BC,entropy_coeff,N_test_E_traj,N_test_rollout,batch_size,reinit_opt,record_intermediate,NN_mid_as_feats,N_FAIL_samps,render,render_final,switch_2_E_after,random_demos,RL_expert_exp_id,RL_expert_load_best,RL_expert_algo,T_max_all,T_max,model_reg_coeff,partial_obs,recent_samp_priority_exp,horizon_weight_offset_exp,pair_with_E,drop_first,adversary_t_bucket_size,recompute_adversary_freq,density_ratio_alpha,train_r_mean,train_r_std,test_r_mean,test_r_std,loss_function,alg,env_id,N_E_samp,epoch_losses,best_epoch_ind,entropy,num_switched,mean_abs_logit,min_abs_logit,w_max,w_min,final,iteration_num,horizon,w_ESS,reward,reward_std,loss_test,loss_train,class_test,runtime,best_ind,JS_div,hindsight_loss_train
4,100000,10,25,FALSE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.3280873683532973, 0.27291933, 0.24458554, 0.22679727, 0.21463159, 0.20339222, 0.19145685, 0.18740357, 0.18327023, 0.17558475]",9,0.090754226,8274,2.20579648,8.52E-05,1,1,FALSE,0,500,12500,487.6,33.74611089,0.178979427,0.179831758,0.078319997,0.540941628,0,0.040240095,0.179831758
4,200000,10,25,FALSE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.1362297653954924, 0.17082195, 0.16677867, 0.16142684, 0.1587281, 0.15598476, 0.14976758, 0.15000181, 0.14730953, 0.14495654]",0,0.077222183,388,2.847187757,3.99E-05,1,1,FALSE,1,500,12500,500,0,0.145100817,0.145221129,0.057,1.170514572,1,0.039172026,0.145221129
4,300000,10,25,FALSE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.11451829570084539, 0.14409043, 0.14270109, 0.13665599, 0.13412493, 0.1341403, 0.12745467, 0.12844718, 0.12671943, 0.1253208]",0,0.066409506,275,3.521761894,9.17E-05,1,1,FALSE,2,500,12500,500,0,0.121065788,0.120808341,0.04284,1.609812923,2,0.0353022,0.120808341
4,400000,10,25,FALSE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.10043909871099818, 0.12627211, 0.13269724, 0.120100886, 0.118427634, 0.12126527, 0.114064924, 0.1161887, 0.11449481, 0.11404258]",0,0.059312519,106,4.146732807,6.11E-05,1,1,FALSE,3,500,12500,500,0,0.108803116,0.10835176,0.038120002,2.044067915,3,0.026398562,0.10835176
4,500000,10,25,FALSE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC,CartPole-v1,12500,"[0.09212774900216042, 0.114412986, 0.12579335, 0.10923794, 0.10834299, 0.111760944, 0.10443492, 0.10640795, 0.104657196, 0.10476722]",0,0.054579932,104,4.62624073,0.000454456,1,1,TRUE,4,500,12500,500,0,0.098106764,0.097733349,0.033920001,3.044535434,4,0.026398562,0.097733349
4,100000,10,25,TRUE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.3006846221349109, 0.2733442, 0.23264773, 0.2098051, 0.19639304, 0.18520737, 0.17391023, 0.16951223, 0.1640398, 0.15820004]",9,0.079589806,6935,2.488079071,3.32E-06,1,1,FALSE,0,500,12500,499.12,2.984225193,0.157981291,0.160447732,0.076399997,0.707974589,0,0.013523335,0.160447732
4,200000,10,25,TRUE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.12265036051706284, 0.1571333, 0.15201914, 0.14577721, 0.1438461, 0.14143579, 0.13745587, 0.13862048, 0.1374053, 0.13268456]",0,0.068974778,256,3.195697069,0.000813078,1,1,FALSE,1,500,12500,500,0,0.138001412,0.138247803,0.064479999,1.332866152,1,0.021530159,0.138247803
4,300000,10,25,TRUE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.10536090681092519, 0.13542771, 0.13631207, 0.1267984, 0.124739334, 0.12438144, 0.12045569, 0.12162029, 0.12195569, 0.11781152]",0,0.061432227,198,3.829749346,0.000517599,1,1,FALSE,2,500,12500,500,0,0.12022759,0.118794046,0.054079998,1.920411559,2,0.028333915,0.118794046
4,400000,10,25,TRUE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.09499540967023333, 0.12146674, 0.12907512, 0.114657424, 0.11262279, 0.11352762, 0.10912379, 0.1110899, 0.111519925, 0.10820349]",0,0.055958573,111,4.377488613,0.000113621,1,1,FALSE,3,500,12500,500,0,0.109619014,0.107251808,0.048119999,2.447150815,3,0.028903145,0.107251808
4,500000,10,25,TRUE,0.01,"(64,)",5,0,0,FALSE,my_RL_experts,results_jan2021/results-CartPole-v1--BBC.csv,FALSE,25,,,,0.01,0,50,50,128,FALSE,TRUE,,,FALSE,FALSE,,FALSE,0,TRUE,,,,,FALSE,1,,FALSE,0,,1,1,500,0,500,0,,BC+H,CartPole-v1,12500,"[0.08824954913440906, 0.11151172, 0.12462203, 0.105751716, 0.10384859, 0.106468454, 0.1010947, 0.102090925, 0.10286351, 0.10020917]",0,0.05167786,107,4.927944183,0.000540391,1,1,TRUE,4,500,12500,500,0,0.100581437,0.097683787,0.04064,3.169903334,4,0.028903145,0.097683787
